               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.011174,           0.0069274,          0.00061612,             0.93591,             0.95656,             0.98356,             0.94576,           0.0069545,           0.0045071,          0.00027489,           0.0035679,           0.0035679,           0.0035679
                 138,            0.011203,           0.0069603,          0.00068017,             0.93629,             0.95643,              0.9836,             0.94612,           0.0069297,           0.0044989,          0.00027359,           0.0035376,           0.0035376,           0.0035376
                 139,            0.011216,           0.0069919,          0.00067176,             0.93638,             0.95658,             0.98359,             0.94645,           0.0069096,           0.0044899,          0.00027214,           0.0035073,           0.0035073,           0.0035073
                 140,            0.011199,           0.0069802,          0.00067515,              0.9364,             0.95676,             0.98363,             0.94689,           0.0068908,           0.0044765,          0.00027056,            0.003477,            0.003477,            0.003477
                 141,            0.011137,           0.0068924,          0.00061655,             0.93586,             0.95784,             0.98363,              0.9469,           0.0068769,           0.0044699,          0.00026955,           0.0034466,           0.0034466,           0.0034466
                 142,            0.010998,            0.006855,          0.00062552,             0.93644,             0.95742,             0.98366,             0.94732,           0.0068548,           0.0044622,          0.00026885,           0.0034163,           0.0034163,           0.0034163
                 143,             0.01102,           0.0068565,          0.00062754,             0.93618,             0.95759,             0.98367,              0.9476,           0.0068357,           0.0044595,           0.0002675,            0.003386,            0.003386,            0.003386
                 144,            0.011014,           0.0068275,          0.00065832,             0.93679,             0.95723,             0.98364,              0.9478,           0.0068155,           0.0044562,          0.00026623,           0.0033557,           0.0033557,           0.0033557
                 145,            0.010987,           0.0068441,          0.00065089,             0.93596,             0.95763,             0.98362,             0.94824,           0.0067922,           0.0044541,          0.00026522,           0.0033254,           0.0033254,           0.0033254
                 146,             0.01106,             0.00684,          0.00064879,             0.93584,              0.9578,             0.98361,             0.94877,           0.0067686,           0.0044482,          0.00026415,           0.0032951,           0.0032951,           0.0032951
                 147,            0.010856,           0.0068223,          0.00058423,             0.93628,             0.95756,             0.98364,             0.94907,           0.0067446,           0.0044353,          0.00026321,           0.0032648,           0.0032648,           0.0032648
                 148,            0.010842,           0.0067591,          0.00060452,             0.93449,             0.95904,             0.98366,             0.94926,           0.0067233,           0.0044277,          0.00026206,           0.0032345,           0.0032345,           0.0032345
                 149,            0.010907,           0.0067512,          0.00063421,             0.93581,             0.95801,             0.98363,             0.94975,           0.0067036,           0.0044187,           0.0002609,           0.0032042,           0.0032042,           0.0032042
