   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.99088,             0.97045,             0.98713,             0.84906,            0.016527,            0.040277,           0.0013769,             0.00812,             0.01285,             0.97042,             0.00059,              3.2053,              0.9424,              0.1099,             0.05643,             0.47208,             0.95371,             0.86836,             0.84038,                 0.2,              4.7197,                   0,             0.01287,             0.70323,              0.2873,                   0,             0.10297,              0.4612,                   0,                   0,                   0,                 0.5,             0.95481,                   0,                   0,              2.9615
             0.98818,             0.96359,             0.98815,             0.83442,            0.018848,            0.037984,             0.00226,             0.00751,             0.01489,             0.91574,              0.0005,              3.7514,                0.95,             0.11588,             0.05058,             0.52715,              1.0635,             0.66818,             0.82063,                 0.2,              5.7688,                   0,             0.01126,              0.7711,             0.32188,                   0,              0.0937,             0.44765,                   0,                   0,                   0,                 0.5,             0.81194,                   0,                   0,                3.29
             0.99054,             0.96686,             0.98816,             0.84154,            0.017773,            0.042994,           0.0020904,             0.00779,             0.01328,             0.93492,              0.0006,              3.1451,             0.89471,             0.10758,             0.05199,             0.53513,             0.96636,             0.78463,             0.83294,                 0.2,              5.6656,                   0,             0.01218,              0.7711,             0.31709,                   0,             0.08806,             0.43167,                   0,                   0,                   0,                 0.5,             0.77886,                   0,                   0,              3.1878
             0.99093,             0.96083,              0.9869,              0.8551,            0.017473,            0.041757,           0.0018545,             0.00889,             0.01466,             0.95347,             0.00068,              3.1854,                0.95,              0.1221,             0.05199,             0.50151,              1.2023,             0.86021,             0.66787,                 0.2,              5.9674,                   0,              0.0105,             0.73967,             0.32548,                   0,              0.0892,             0.44765,                   0,                   0,                   0,                 0.5,             0.70137,                   0,                   0,              2.9531
             0.99205,             0.97003,             0.98761,             0.85438,            0.019822,             0.04011,           0.0020611,             0.01008,             0.01014,             0.94853,             0.00056,              2.7119,             0.86466,             0.08686,             0.05584,             0.46001,             0.89957,             0.72149,              1.1195,                 0.2,              5.1148,                   0,             0.01632,             0.75832,             0.34798,                   0,             0.12599,             0.46257,                   0,                   0,                   0,                 0.5,             0.90497,                   0,                   0,              2.0796
             0.99112,             0.96038,              0.9868,             0.83433,            0.020889,            0.046029,           0.0019994,              0.0121,                0.01,             0.94391,             0.00056,              2.7119,             0.85942,             0.06721,             0.05633,             0.49635,             0.87259,             0.78509,             0.89521,                 0.2,               5.998,                   0,             0.01635,             0.58529,             0.34629,                   0,             0.14345,             0.53931,                   0,                   0,                   0,                 0.5,             0.75392,                   0,                   0,                2.87
             0.99204,             0.95927,             0.98531,             0.84274,            0.027529,            0.055744,           0.0015624,             0.00882,             0.01051,                0.98,              0.0006,              3.0517,                0.95,             0.08597,              0.0573,             0.50356,             0.81004,             0.84501,              1.0678,                 0.2,              6.7704,                   0,             0.01635,             0.76416,             0.32646,                   0,              0.1423,             0.51833,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3152
             0.99194,             0.96926,             0.98837,             0.84429,            0.021965,             0.04157,           0.0021995,             0.00992,             0.01028,             0.94146,             0.00056,              2.7255,             0.87608,              0.0876,             0.05572,             0.43653,             0.90235,             0.72196,              1.0662,                 0.2,              5.2488,                   0,             0.01675,             0.77193,             0.34629,                   0,             0.12464,             0.43828,                   0,                   0,                   0,                 0.5,             0.89431,                   0,                   0,              2.0885
             0.98956,             0.96991,             0.98788,              0.8539,            0.016128,            0.034717,           0.0017795,             0.01006,                0.01,                0.98,             0.00062,              2.1696,                0.95,             0.09055,             0.04973,             0.46001,               1.022,              0.7294,             0.89608,                 0.2,               4.911,                   0,             0.01635,             0.76524,             0.36619,                   0,             0.13458,              0.4724,                   0,                   0,                   0,                 0.5,             0.83795,                   0,                   0,                   2
             0.98878,              0.9716,             0.98828,             0.85024,            0.019389,             0.04045,           0.0023353,             0.01006,                0.01,              0.9384,             0.00062,              2.1696,             0.92275,             0.09055,             0.05747,             0.45745,               1.187,             0.80739,              1.0033,                 0.2,               4.911,                   0,             0.01798,             0.76691,             0.38912,                   0,              0.1166,             0.48207,                   0,                   0,                   0,                 0.5,             0.67983,                   0,                   0,              2.3921
             0.99129,             0.96436,              0.9861,             0.83994,            0.013353,            0.038102,            0.001742,              0.0118,                0.01,                0.98,             0.00072,              2.1696,                0.95,             0.08454,             0.03859,             0.49018,               1.022,              0.7294,             0.96337,                 0.2,              5.0133,                   0,             0.01496,             0.63664,              0.3852,                   0,             0.13458,             0.52947,                   0,                   0,                   0,                 0.5,             0.94507,                   0,                   0,              2.3024
             0.98633,             0.96882,             0.98674,             0.83801,            0.016552,            0.040707,           0.0020891,             0.00984,             0.01085,                0.98,             0.00064,              2.3945,                0.95,             0.08249,             0.04923,             0.47145,               1.022,             0.77198,              1.0264,                 0.2,               4.911,                   0,             0.01508,             0.40135,             0.36619,                   0,             0.13458,             0.61516,                   0,                   0,                   0,                 0.5,             0.72059,                   0,                   0,              2.1095
             0.99113,             0.96971,             0.98624,             0.86168,            0.017878,            0.028086,           0.0016453,             0.01181,                0.01,                0.98,              0.0006,              2.2542,                0.95,             0.07879,             0.04973,             0.46721,              1.0367,             0.60197,             0.74392,                 0.2,              5.3412,                   0,             0.01694,             0.65456,             0.36619,                   0,             0.15882,             0.40557,                   0,                   0,                   0,                 0.5,             0.94695,                   0,                   0,              2.2583
             0.99243,             0.96281,             0.98635,             0.85007,             0.03265,            0.045649,           0.0041038,             0.00818,             0.01393,             0.93944,             0.00073,              3.3243,                0.95,             0.11919,             0.05275,             0.50151,              1.0865,             0.86021,             0.68639,                 0.2,              6.2888,                   0,             0.01007,             0.73216,             0.32548,                   0,             0.09247,             0.42452,                   0,                   0,                   0,                 0.5,             0.71476,                   0,                   0,              3.6216
               0.981,              0.9499,              0.9858,             0.81734,            0.022385,            0.060302,           0.0035256,             0.00889,              0.0156,             0.81991,             0.00046,              2.1066,                0.95,             0.15415,             0.05452,             0.58021,             0.73308,             0.98682,             0.88772,                 0.2,               6.123,                   0,             0.01263,             0.73967,             0.27216,                   0,             0.08757,             0.48645,                   0,                   0,                   0,                 0.5,             0.62684,                   0,                   0,              2.8748
